tweet_date,the_airline,Vader_com,airline_posts_count,user_followers_count,airline_mentions_count
2019-05-28,RyanAir,0.17860736842105263,190.0,413273.6,162.0
2019-05-28,SingaporeanAir,0.5947878787878788,66.0,693949.5151515151,108.0
2019-05-28,VirginAtlantic,0.4106693548387097,128.0,599392.171875,336.0
2019-05-28,easyJet,0.40751020408163263,308.0,467108.74675324676,52.0
2019-05-29,AirFrance,0.6238807692307693,54.0,339543.7037037037,126.0
2019-05-29,AmericanAir,0.34223692946058093,966.0,1557866.2960662525,236.0
2019-05-29,British_Airways,0.2930214705882353,682.0,1216298.0410557184,46.0
2019-05-29,EtihadAirways,0.37649999999999995,10.0,652473.2,1454.0
2019-05-29,KLM,0.42438472222222223,240.0,2336444.5416666665,582.0
2019-05-29,Lufthansa,0.3979645161290323,128.0,427814.296875,80.0
2019-05-29,Qantas,0.4039818181818182,110.0,479789.43636363634,226.0
2019-05-29,RyanAir,0.25703947368421054,160.0,413447.75,184.0
2019-05-29,SingaporeanAir,0.626636,50.0,694049.2,142.0
2019-05-29,VirginAtlantic,0.19451333333333334,94.0,599467.7021276596,6869.0
2019-05-29,easyJet,0.43864965986394555,318.0,467174.9433962264,48.0
2019-05-30,AirFrance,0.5313227272727272,46.0,339597.8695652174,180.0
2019-05-30,AmericanAir,0.33470493023255815,1075.0,1558119.088372093,236.0
2019-05-30,British_Airways,0.28797898089171975,628.0,1216446.3089171974,54.0
2019-05-30,EtihadAirways,0.5898,6.0,652584.6666666666,1297.0
2019-05-30,KLM,0.3534531914893617,178.0,2336478.988764045,520.0
2019-05-30,Lufthansa,0.5544027027027028,45.0,427916.1111111111,128.0
2019-05-30,Qantas,0.4495142857142857,84.0,479839.28571428574,210.0
2019-05-30,RyanAir,0.19944949494949496,200.0,413644.48,80.0
2019-05-30,SingaporeanAir,0.5842131578947368,76.0,694149.7631578947,110.0
2019-05-30,VirginAtlantic,0.4035987951807229,83.0,599514.8072289156,762.0
2019-05-30,easyJet,0.3729710227272727,372.0,467233.2580645161,74.0
2019-05-31,AirFrance,0.5790333333333334,42.0,339619.90476190473,134.0
2019-05-31,AmericanAir,0.29255689404934687,1378.0,1558291.166908563,349.0
2019-05-31,British_Airways,0.3135236686390533,678.0,1216610.7079646017,58.0
2019-05-31,EtihadAirways,0.5933857142857143,14.0,652717.2857142857,1770.0
2019-05-31,KLM,0.4362666666666667,242.0,2336492.223140496,620.0
2019-05-31,Lufthansa,0.3764777777777778,94.0,427997.42553191487,124.0
2019-05-31,Qantas,0.487528,100.0,479878.34,406.0
2019-05-31,RyanAir,0.22014864864864866,154.0,413712.0779220779,132.0
2019-05-31,SingaporeanAir,0.51915,56.0,694233.3928571428,158.0
2019-05-31,VirginAtlantic,0.2673920454545455,178.0,599575.1460674157,310.0
2019-05-31,easyJet,0.49291287878787876,276.0,467302.4492753623,62.0
2019-06-01,AirFrance,0.5422464285714286,60.0,339665.8,424.0
2019-06-01,AmericanAir,0.3197815847395451,1365.0,1558406.2212454213,278.0
2019-06-01,British_Airways,0.3190168918918919,594.0,1216762.3535353534,76.0
2019-06-01,EtihadAirways,0.5690454545454545,24.0,652819.3333333334,1398.0
2019-06-01,KLM,0.47350869565217396,144.0,2336468.75,494.0
2019-06-01,Lufthansa,0.35511290322580646,66.0,428102.2727272727,86.0
2019-06-01,Qantas,0.5519758620689655,58.0,479907.6551724138,159.0
2019-06-01,RyanAir,0.31975652173913044,92.0,413777.76086956525,102.0
2019-06-01,SingaporeanAir,0.5815235294117647,102.0,694338.6274509804,78.0
2019-06-01,VirginAtlantic,0.21889999999999998,154.0,599610.1038961039,260.0
2019-06-01,easyJet,0.36078584905660377,234.0,467332.2735042735,646.0
2019-06-02,AirFrance,0.5643625,36.0,339724.6111111111,202.0
2019-06-02,AmericanAir,0.27798541114058356,754.0,1558531.1777188329,226.0
2019-06-02,British_Airways,0.28497955271565495,630.0,1216929.6095238095,2.0
2019-06-02,EtihadAirways,0.8603999999999999,6.0,652911.3333333334,60.0
2019-06-02,KLM,0.4692441176470588,198.0,2336448.414141414,1698.0
2019-06-02,Lufthansa,0.351178431372549,112.0,428211.23214285716,684.0
2019-06-02,Qantas,0.5242282051282051,78.0,479939.58974358975,36.0
2019-06-02,RyanAir,0.2671561403508772,114.0,413844.50877192983,200.0
2019-06-02,SingaporeanAir,0.6189897435897436,78.0,694409.2564102564,182.0
2019-06-02,VirginAtlantic,0.19901458333333333,96.0,599661.4166666666,224.0
2019-06-02,easyJet,0.2515049382716049,350.0,467352.41714285716,232.0
2019-06-03,AirFrance,0.5356377777777778,94.0,339792.829787234,200.0
2019-06-03,AmericanAir,0.2811895145631068,1030.0,1558779.481553398,90.0
2019-06-03,British_Airways,0.28063266331658293,798.0,1217480.9097744361,336.0
